DIAGNOSIS CODE,LEN_DX_CODE,SEVEN_DX_CODE,LONG_DESCRIPTION,SHORT_DESCRIPTION
07819,5,0007819,Other specified viral warts,Oth specfd viral warts
07812,5,0007812,Plantar wart,Plantar wart
07811,5,0007811,Condyloma acuminatum,Condyloma acuminatum
07810,5,0007810,"Viral warts, unspecified",Viral warts NOS
07799,5,0007799,Unspecified diseases of conjunctiva due to viruses,Unsp ds conjuc viruses
07798,5,0007798,Unspecified diseases of conjunctiva due to chlamydiae,Unsp ds conjuc chlamydia
07423,5,0007423,Coxsackie myocarditis,Coxsackie myocarditis
07422,5,0007422,Coxsackie endocarditis,Coxsackie endocarditis
07421,5,0007421,Coxsackie pericarditis,Coxsackie pericarditis
07420,5,0007420,"Coxsackie carditis, unspecified",Coxsackie carditis NOS
07279,5,0007279,Other mumps with other specified complications,Mumps complication NEC
07272,5,0007272,Mumps polyneuropathy,Mumps polyneuropathy
07271,5,0007271,Mumps hepatitis,Mumps hepatitis
07071,5,0007071,Unspecified viral hepatitis C with hepatic coma,Hpt C w hepatic coma NOS
07070,5,0007070,Unspecified viral hepatitis C without hepatic coma,Hpt C w/o hepat coma NOS
07059,5,0007059,Other specified viral hepatitis without mention of hepatic coma,Oth vrl hpat wo hpt coma
07054,5,0007054,Chronic hepatitis C without mention of hepatic coma,Chrnc hpt C wo hpat coma
07053,5,0007053,Hepatitis E without mention of hepatic coma,Hpt E wo hepat Coma
07052,5,0007052,Hepatitis delta without mention of active hepatitis B disease or hepatic coma,Hpt dlt wo b wo hpt coma
07051,5,0007051,Acute hepatitis C without mention of hepatic coma,Hpt C acute wo hpat coma
07049,5,0007049,Other specified viral hepatitis with hepatic coma,Oth vrl hepat w hpt coma
07044,5,0007044,Chronic hepatitis C with hepatic coma,Chrnc hpt C w hepat Coma
07043,5,0007043,Hepatitis E with hepatic coma,Hpt E w hepat Coma
07042,5,0007042,Hepatitis delta without mention of active hepatitis B disease with hepatic coma,Hpt dlt wo b w hpt coma
07041,5,0007041,Acute hepatitis C with hepatic coma,Hpt C acute w hepat Coma
07033,5,0007033,Chronic viral hepatitis B without mention of hepatic coma with hepatitis delta,Hpt B chrn wo cm w dlta
07032,5,0007032,Chronic viral hepatitis B without mention of hepatic coma without mention of hepatitis delta,Hpt B chrn wo cm wo dlta
07031,5,0007031,"Viral hepatitis B without mention of hepatic coma, acute or unspecified, with hepatitis delta",Hpt B acte wo cm w dlta
07030,5,0007030,"Viral hepatitis B without mention of hepatic coma, acute or unspecified, without mention of hepatitis delta",Hpt B acte wo cm wo dlta
07023,5,0007023,Chronic viral hepatitis B with hepatic coma with hepatitis delta,Hpt B chrn coma w dlta
07022,5,0007022,Chronic viral hepatitis B with hepatic coma without hepatitis delta,Hpt B chrn coma wo dlta
07021,5,0007021,"Viral hepatitis B with hepatic coma, acute or unspecified, with hepatitis delta",Hpt B acte coma w dlta
07020,5,0007020,"Viral hepatitis B with hepatic coma, acute or unspecified, without mention of hepatitis delta",Hpt B acte coma wo dlta
06649,5,0006649,West Nile Fever with other complications,West Nile w complic NEC
06642,5,0006642,West Nile Fever with other neurologic manifestation,West Nile neuro man NEC
06641,5,0006641,West Nile Fever with encephalitis,West Nile Fever w/enceph
06640,5,0006640,"West Nile Fever, unspecified",West Nile Fever NOS
05922,5,0005922,Yaba monkey tumor virus,Yaba monkey tumor virus
05921,5,0005921,Tanapox,Tanapox
05920,5,0005920,"Yatapoxvirus infection, unspecified",Yatapoxvirus infectn NOS
05919,5,0005919,Other parapoxvirus infections,Parapoxvirus infectn NEC
05912,5,0005912,Sealpox,Sealpox
05911,5,0005911,Bovine stomatitis,Bovine stomatitis
05910,5,0005910,"Parapoxvirus infection, unspecified",Parapoxvirus infectn NOS
05909,5,0005909,Other orthopoxvirus infections,Orthopoxvirus infect NEC
05901,5,0005901,Monkeypox,Monkeypox
05900,5,0005900,"Orthopoxvirus infection, unspecified",Orthopoxvirus infect NOS
05889,5,0005889,Other human herpesvirus infection,Human herpesvirs inf NEC
05882,5,0005882,Human herpesvirus 7 infection,Human herpesvirus 7 infc
05881,5,0005881,Human herpesvirus 6 infection,Human herpesvirus 6 infc
05829,5,0005829,Other human herpesvirus encephalitis,Human herpesvr encph NEC
05821,5,0005821,Human herpesvirus 6 encephalitis,Human herpesvir 6 enceph
05812,5,0005812,Roseola infantum due to human herpesvirus 7,Roseola infant d/t HHV-7
05811,5,0005811,Roseola infantum due to human herpesvirus 6,Roseola infant d/t HHV-6
05810,5,0005810,"Roseola infantum, unspecified",Roseola infantum NOS
05679,5,0005679,Rubella with other specified complications,Rubella complication NEC
05671,5,0005671,Arthritis due to rubella,Arthritis due to rubella
05609,5,0005609,Rubella with other neurological complications,Rubella nerve compl NEC
05601,5,0005601,Encephalomyelitis due to rubella,Rubella encephalitis
05600,5,0005600,Rubella with unspecified neurological complication,Rubella nerve compl NOS
05579,5,0005579,Measles with other specified complications,Measles complication NEC
05571,5,0005571,Measles keratoconjunctivitis,Measles keratitis
05479,5,0005479,Herpes simplex with other specified complications,H simplex complicat NEC
05474,5,0005474,Herpes simplex myelitis,Herpes simplex myelitis
05473,5,0005473,Herpes simplex otitis externa,H simplex otitis externa
05472,5,0005472,Herpes simplex meningitis,H simplex meningitis
05471,5,0005471,Visceral herpes simplex,Visceral herpes simplex
05449,5,0005449,Herpes simplex with other ophthalmic complications,Herpes simplex eye NEC
05444,5,0005444,Herpes simplex iridocyclitis,H simplex iridocyclitis
05443,5,0005443,Herpes simplex disciform keratitis,H simplex keratitis
05442,5,0005442,Dendritic keratitis,Dendritic keratitis
05441,5,0005441,Herpes simplex dermatitis of eyelid,Herpes simplex of eyelid
05440,5,0005440,Herpes simplex with unspecified ophthalmic complication,Herpes simplex eye NOS
05419,5,0005419,Other genital herpes,Genital herpes NEC
05413,5,0005413,Herpetic infection of penis,Herpetic infect of penis
05412,5,0005412,Herpetic ulceration of vulva,Herpetic ulcer of vulva
05411,5,0005411,Herpetic vulvovaginitis,Herpetic vulvovaginitis
05410,5,0005410,"Genital herpes, unspecified",Genital herpes NOS
05379,5,0005379,Herpes zoster with other specified complications,H zoster complicated NEC
05371,5,0005371,Otitis externa due to herpes zoster,H zoster otitis externa
05329,5,0005329,Herpes zoster with other ophthalmic complications,Herpes zoster of eye NEC
05322,5,0005322,Herpes zoster iridocyclitis,H zoster iridocyclitis
05321,5,0005321,Herpes zoster keratoconjunctivitis,H zoster keratoconjunct
05320,5,0005320,Herpes zoster dermatitis of eyelid,Herpes zoster of eyelid
05319,5,0005319,Herpes zoster with other nervous system complications,H zoster nerv syst NEC
05314,5,0005314,Herpes zoster myelitis,Herpes zoster myelitis
05313,5,0005313,Postherpetic polyneuropathy,Postherpes polyneuropath
05312,5,0005312,Postherpetic trigeminal neuralgia,Postherpes trigem neural
05311,5,0005311,Geniculate herpes zoster,Geniculate herpes zoster
05310,5,0005310,Herpes zoster with unspecified nervous system complication,H zoster nerv syst NOS
05102,5,0005102,Vaccinia not from vaccination,Vaccinia n/f vaccination
05101,5,0005101,Cowpox,Cowpox
04679,5,0004679,Other and unspecified prion disease of central nervous system,Prion dis of CNS NEC/NOS
04672,5,0004672,Fatal familial insomnia,Fatal familial insomnia
04671,5,0004671,Gerstmann-Sträussler-Scheinker syndrome,Gerstmn-Straus-Schnk syn
04619,5,0004619,Other and unspecified Creutzfeldt-Jakob disease,Creutzfldt-Jakob NEC/NOS
04611,5,0004611,Variant Creutzfeldt-Jakob disease,Varnt Creutzfeldt-Jakob
04593,5,0004593,"Acute poliomyelitis, unspecified, poliovirus type III",Ac polio NOS-type 3
04592,5,0004592,"Acute poliomyelitis, unspecified, poliovirus type II",Ac polio NOS-type 2
04591,5,0004591,"Acute poliomyelitis, unspecified, poliovirus type I",Ac polio NOS-type 1
04590,5,0004590,"Acute poliomyelitis, unspecified, poliovirus, unspecified type",Ac polio NOS-type NOS
04523,5,0004523,"Acute nonparalytic poliomyelitis, poliovirus type III",Nonparalyt polio-type 3
04522,5,0004522,"Acute nonparalytic poliomyelitis, poliovirus type II",Nonparalyt polio-type 2
04521,5,0004521,"Acute nonparalytic poliomyelitis, poliovirus type I",Nonparalyt polio-type 1
04520,5,0004520,"Acute nonparalytic poliomyelitis, poliovirus, unspecified type",Nonparaly polio-type NOS
04513,5,0004513,"Acute poliomyelitis with other paralysis, poliovirus type III",Paral polio NEC-type 3
04512,5,0004512,"Acute poliomyelitis with other paralysis, poliovirus type II",Paral polio NEC-type 2
04511,5,0004511,"Acute poliomyelitis with other paralysis, poliovirus type I",Paral polio NEC-type 1
04510,5,0004510,"Acute poliomyelitis with other paralysis, poliovirus, unspecified type",Paral polio NEC-type NOS
04503,5,0004503,"Acute paralytic poliomyelitis specified as bulbar, poliovirus type III",Ac bulbar polio-type 3
04502,5,0004502,"Acute paralytic poliomyelitis specified as bulbar, poliovirus type II",Ac bulbar polio-type 2
04501,5,0004501,"Acute paralytic poliomyelitis specified as bulbar, poliovirus type I",Ac bulbar polio-type 1
04500,5,0004500,"Acute paralytic poliomyelitis specified as bulbar, poliovirus, unspecified type",Ac bulbar polio-type NOS
04189,5,0004189,"Other specified bacterial infections in conditions classified elsewhere and of unspecified site, other specified bacteria",Oth specf bacteria
04186,5,0004186,Helicobacter pylori [H. pylori],Helicobacter pylori
04185,5,0004185,"Other specified bacterial infections in conditions classified elsewhere and of unspecified site, other gram-negative organisms",Oth gram negatv bacteria
04184,5,0004184,"Other specified bacterial infections in conditions classified elsewhere and of unspecified site, other anaerobes",Other anaerobes
04183,5,0004183,"Other specified bacterial infections in conditions classified elsewhere and of unspecified site, Clostridium perfringens",Clostridium perfringens
04182,5,0004182,Bacteroides fragilis,Bacteroides fragilis
04181,5,0004181,"Other specified bacterial infections in conditions classified elsewhere and of unspecified site, mycoplasma",Mycoplasma
04149,5,0004149,Other and unspecified Escherichia coli [E. coli],E.coli infection NEC/NOS
04143,5,0004143,"Shiga toxin-producing Escherichia coli [E. coli] (STEC), unspecified",Shga txn prod E.coli NOS
04142,5,0004142,Other specified Shiga toxin-producing Escherichia coli [E. coli] (STEC),Shga txn prod E.coli NEC
04141,5,0004141,Shiga toxin-producing Escherichia coli [E. coli] (STEC) O157,Shiga txn-produce E.coli
04119,5,0004119,"Staphylococcus infection in conditions classified elsewhere and of unspecified site, other staphylococcus",Other staphylococcus
04112,5,0004112,Methicillin resistant Staphylococcus aureus in conditions classified elsewhere and of unspecified site,MRSA elsewhere/NOS
04111,5,0004111,Methicillin susceptible Staphylococcus aureus in conditions classified elsewhere and of unspecified site,Mth sus Stph aur els/NOS
04110,5,0004110,"Staphylococcus infection in conditions classified elsewhere and of unspecified site, staphylococcus, unspecified",Staphylococcus unspcfied
04109,5,0004109,"Streptococcus infection in conditions classified elsewhere and of unspecified site, other streptococcus",Other streptococcus
04105,5,0004105,"Streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, group G",Streptococcus group g
04104,5,0004104,"Streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, group D [Enterococcus]",Enterococcus group d
04103,5,0004103,"Streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, group C",Streptococcus group c
04102,5,0004102,"Streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, group B",Streptococcus group b
04101,5,0004101,"Streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, group A",Streptococcus group a
04100,5,0004100,"Streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, unspecified",Streptococcus unspecf
04089,5,0004089,Other specified bacterial diseases,Bacterial diseases NEC
04082,5,0004082,Toxic shock syndrome,Toxic shock syndrome
04081,5,0004081,Tropical pyomyositis,Tropical pyomyositis
04042,5,0004042,Wound botulism,Wound botulism
04041,5,0004041,Infant botulism,Infant botulism
03849,5,0003849,Other septicemia due to gram-negative organisms,Gram-neg septicemia NEC
03844,5,0003844,Septicemia due to serratia,Serratia septicemia
03843,5,0003843,Septicemia due to pseudomonas,Pseudomonas septicemia
03842,5,0003842,Septicemia due to escherichia coli [E. coli],E coli septicemia
03841,5,0003841,Septicemia due to hemophilus influenzae [H. influenzae],H. influenae septicemia
03840,5,0003840,"Septicemia due to gram-negative organism, unspecified",Gram-neg septicemia NOS
03819,5,0003819,Other staphylococcal septicemia,Staphylcocc septicem NEC
03812,5,0003812,Methicillin resistant Staphylococcus aureus septicemia,MRSA septicemia
03811,5,0003811,Methicillin susceptible Staphylococcus aureus septicemia,Meth susc Staph aur sept
03810,5,0003810,"Staphylococcal septicemia, unspecified",Staphylcocc septicem NOS
03689,5,0003689,Other specified meningococcal infections,Meningococcal infect NEC
03682,5,0003682,Meningococcal arthropathy,Meningococc arthropathy
03681,5,0003681,Meningococcal optic neuritis,Meningococc optic neurit
03643,5,0003643,Meningococcal myocarditis,Meningococc myocarditis
03642,5,0003642,Meningococcal endocarditis,Meningococc endocarditis
03641,5,0003641,Meningococcal pericarditis,Meningococc pericarditis
03640,5,0003640,"Meningococcal carditis, unspecified",Meningococc carditis NOS
03289,5,0003289,Other specified diphtheria,Diphtheria NEC
03285,5,0003285,Cutaneous diphtheria,Cutaneous diphtheria
03284,5,0003284,Diphtheritic cystitis,Diphtheritic cystitis
03283,5,0003283,Diphtheritic peritonitis,Diphtheritic peritonitis
03282,5,0003282,Diphtheritic myocarditis,Diphtheritic myocarditis
03281,5,0003281,Conjunctival diphtheria,Conjunctival diphtheria
01896,5,0001896,"Miliary tuberculosis, unspecified, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",Miliary TB NOS-oth test
01895,5,0001895,"Miliary tuberculosis, unspecified, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",Miliary TB NOS-histo dx
01894,5,0001894,"Miliary tuberculosis, unspecified, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",Miliary TB NOS-cult dx
01893,5,0001893,"Miliary tuberculosis, unspecified, tubercle bacilli found (in sputum) by microscopy",Miliary TB NOS-micro dx
01892,5,0001892,"Miliary tuberculosis, unspecified, bacteriological or histological examination unknown (at present)",Miliary TB NOS-exam unkn
01891,5,0001891,"Miliary tuberculosis, unspecified, bacteriological or histological examination not done",Miliary TB NOS-no exam
01890,5,0001890,"Miliary tuberculosis, unspecified, unspecified",Miliary TB NOS-unspec
01886,5,0001886,"Other specified miliary tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",Miliary TB NEC-oth test
01885,5,0001885,"Other specified miliary tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",Miliary TB NEC-histo dx
01884,5,0001884,"Other specified miliary tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",Miliary TB NEC-cult dx
01883,5,0001883,"Other specified miliary tuberculosis, tubercle bacilli found (in sputum) by microscopy",Miliary TB NEC-micro dx
01882,5,0001882,"Other specified miliary tuberculosis, bacteriological or histological examination unknown (at present)",Miliary TB NEC-exam unkn
01881,5,0001881,"Other specified miliary tuberculosis, bacteriological or histological examination not done",Miliary TB NEC-no exam
01880,5,0001880,"Other specified miliary tuberculosis, unspecified",Miliary TB NEC-unspec
01806,5,0001806,"Acute miliary tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",Ac miliary tb-oth test
01805,5,0001805,"Acute miliary tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",Ac miliary tb-histo dx
01804,5,0001804,"Acute miliary tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",Acute miliary tb-cult dx
01803,5,0001803,"Acute miliary tuberculosis, tubercle bacilli found (in sputum) by microscopy",Ac miliary tb-micro dx
01802,5,0001802,"Acute miliary tuberculosis, bacteriological or histological examination unknown (at present)",Ac miliary tb-exam unkn
01801,5,0001801,"Acute miliary tuberculosis, bacteriological or histological examination not done",Acute miliary tb-no exam
01800,5,0001800,"Acute miliary tuberculosis, unspecified",Acute miliary tb-unspec
01796,5,0001796,"Tuberculosis of other specified organs, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",TB of organ NEC-oth test
01795,5,0001795,"Tuberculosis of other specified organs, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",TB of organ NEC-histo dx
01794,5,0001794,"Tuberculosis of other specified organs, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",TB of organ NEC-cult dx
01793,5,0001793,"Tuberculosis of other specified organs, tubercle bacilli found (in sputum) by microscopy",TB of organ NEC-micro dx
01792,5,0001792,"Tuberculosis of other specified organs, bacteriological or histological examination unknown (at present)",TB organ NEC-exam unkn
01791,5,0001791,"Tuberculosis of other specified organs, bacteriological or histological examination not done",TB of organ NEC-no exam
01790,5,0001790,"Tuberculosis of other specified organs, unspecified",TB of organ NEC-unspec
01786,5,0001786,"Tuberculosis of esophagus, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",TB esophagus-oth test
01785,5,0001785,"Tuberculosis of esophagus, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",TB esophagus-histo dx
01784,5,0001784,"Tuberculosis of esophagus, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",TB esophagus-cult dx
01783,5,0001783,"Tuberculosis of esophagus, tubercle bacilli found (in sputum) by microscopy",TB esophagus-micro dx
01782,5,0001782,"Tuberculosis of esophagus, bacteriological or histological examination unknown (at present)",TB esophagus-exam unkn
01781,5,0001781,"Tuberculosis of esophagus, bacteriological or histological examination not done",TB esophagus-no exam
01780,5,0001780,"Tuberculosis of esophagus, unspecified",TB esophagus-unspec
01776,5,0001776,"Tuberculosis of spleen, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",TB of spleen-oth test
01775,5,0001775,"Tuberculosis of spleen, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",TB of spleen-histo dx
01774,5,0001774,"Tuberculosis of spleen, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",TB of spleen-cult dx
01773,5,0001773,"Tuberculosis of spleen, tubercle bacilli found (in sputum) by microscopy",TB of spleen-micro dx
01772,5,0001772,"Tuberculosis of spleen, bacteriological or histological examination unknown (at present)",TB of spleen-exam unkn
01771,5,0001771,"Tuberculosis of spleen, bacteriological or histological examination not done",TB of spleen-no exam
01770,5,0001770,"Tuberculosis of spleen, unspecified",TB of spleen-unspec
01766,5,0001766,"Tuberculosis of adrenal glands, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",TB of adrenal-oth test
01765,5,0001765,"Tuberculosis of adrenal glands, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",TB of adrenal-histo dx
01764,5,0001764,"Tuberculosis of adrenal glands, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",TB of adrenal-cult dx
01763,5,0001763,"Tuberculosis of adrenal glands, tubercle bacilli found (in sputum) by microscopy",TB of adrenal-micro dx
01762,5,0001762,"Tuberculosis of adrenal glands, bacteriological or histological examination unknown (at present)",TB of adrenal-exam unkn
01761,5,0001761,"Tuberculosis of adrenal glands, bacteriological or histological examination not done",TB of adrenal-no exam
01760,5,0001760,"Tuberculosis of adrenal glands, unspecified",TB of adrenal-unspec
01756,5,0001756,"Tuberculosis of thyroid gland, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",TB of thyroid-oth test
01755,5,0001755,"Tuberculosis of thyroid gland, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",TB of thyroid-histo dx
01754,5,0001754,"Tuberculosis of thyroid gland, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",TB of thyroid-cult dx
01753,5,0001753,"Tuberculosis of thyroid gland, tubercle bacilli found (in sputum) by microscopy",TB of thyroid-micro dx
01752,5,0001752,"Tuberculosis of thyroid gland, bacteriological or histological examination unknown (at present)",TB of thyroid-exam unkn
01751,5,0001751,"Tuberculosis of thyroid gland, bacteriological or histological examination not done",TB of thyroid-no exam
01750,5,0001750,"Tuberculosis of thyroid gland, unspecified",TB of thyroid-unspec
01746,5,0001746,"Tuberculosis of ear, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",TB of ear-oth test
01745,5,0001745,"Tuberculosis of ear, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",TB of ear-histo dx
01744,5,0001744,"Tuberculosis of ear, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",TB of ear-cult dx
01743,5,0001743,"Tuberculosis of ear, tubercle bacilli found (in sputum) by microscopy",TB of ear-micro dx
01742,5,0001742,"Tuberculosis of ear, bacteriological or histological examination unknown (at present)",TB of ear-exam unkn
01741,5,0001741,"Tuberculosis of ear, bacteriological or histological examination not done",TB of ear-no exam
01740,5,0001740,"Tuberculosis of ear, unspecified",TB of ear-unspec
01736,5,0001736,"Tuberculosis of eye, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",TB of eye-oth test
01735,5,0001735,"Tuberculosis of eye, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",TB of eye-histo dx
01734,5,0001734,"Tuberculosis of eye, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",TB of eye-cult dx
01733,5,0001733,"Tuberculosis of eye, tubercle bacilli found (in sputum) by microscopy",TB of eye-micro dx
01732,5,0001732,"Tuberculosis of eye, bacteriological or histological examination unknown (at present)",TB of eye-exam unkn
01731,5,0001731,"Tuberculosis of eye, bacteriological or histological examination not done",TB of eye-no exam
01730,5,0001730,"Tuberculosis of eye, unspecified",TB of eye-unspec
01726,5,0001726,"Tuberculosis of peripheral lymph nodes, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",TB periph lymph-oth test
01725,5,0001725,"Tuberculosis of peripheral lymph nodes, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",TB periph lymph-histo dx
01724,5,0001724,"Tuberculosis of peripheral lymph nodes, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",TB periph lymph-cult dx
01723,5,0001723,"Tuberculosis of peripheral lymph nodes, tubercle bacilli found (in sputum) by microscopy",TB periph lymph-micro dx
01722,5,0001722,"Tuberculosis of peripheral lymph nodes, bacteriological or histological examination unknown (at present)",TB periph lymph-exam unk
01721,5,0001721,"Tuberculosis of peripheral lymph nodes, bacteriological or histological examination not done",TB periph lymph-no exam
01720,5,0001720,"Tuberculosis of peripheral lymph nodes, unspecified",TB periph lymph-unspec
01716,5,0001716,"Erythema nodosum with hypersensitivity reaction in tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",Erythem nod tb-oth test
01715,5,0001715,"Erythema nodosum with hypersensitivity reaction in tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",Erythem nod tb-histo dx
01714,5,0001714,"Erythema nodosum with hypersensitivity reaction in tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",Erythem nodos tb-cult dx
01713,5,0001713,"Erythema nodosum with hypersensitivity reaction in tuberculosis, tubercle bacilli found (in sputum) by microscopy",Erythem nod tb-micro dx
01712,5,0001712,"Erythema nodosum with hypersensitivity reaction in tuberculosis, bacteriological or histological examination unknown (at present)",Erythem nod tb-exam unkn
01711,5,0001711,"Erythema nodosum with hypersensitivity reaction in tuberculosis, bacteriological or histological examination not done",Erythem nodos tb-no exam
01710,5,0001710,"Erythema nodosum with hypersensitivity reaction in tuberculosis, unspecified",Erythema nodos tb-unspec
01706,5,0001706,"Tuberculosis of skin and subcutaneous cellular tissue, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",TB skin/subcut-oth test
01705,5,0001705,"Tuberculosis of skin and subcutaneous cellular tissue, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",TB skin/subcut-histo dx
01704,5,0001704,"Tuberculosis of skin and subcutaneous cellular tissue, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",TB skin/subcut-cult dx
01703,5,0001703,"Tuberculosis of skin and subcutaneous cellular tissue, tubercle bacilli found (in sputum) by microscopy",TB skin/subcut-micro dx
01702,5,0001702,"Tuberculosis of skin and subcutaneous cellular tissue, bacteriological or histological examination unknown (at present)",TB skin/subcut-exam unkn
01701,5,0001701,"Tuberculosis of skin and subcutaneous cellular tissue, bacteriological or histological examination not done",TB skin/subcut-no exam
01700,5,0001700,"Tuberculosis of skin and subcutaneous cellular tissue, unspecified",TB skin/subcutan-unspec
01696,5,0001696,"Genitourinary tuberculosis, unspecified, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",Gu TB NOS-oth test
01695,5,0001695,"Genitourinary tuberculosis, unspecified, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",Gu TB NOS-histo dx
01694,5,0001694,"Genitourinary tuberculosis, unspecified, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",Gu TB NOS-cult dx
01693,5,0001693,"Genitourinary tuberculosis, unspecified, tubercle bacilli found (in sputum) by microscopy",Gu TB NOS-micro dx
01692,5,0001692,"Genitourinary tuberculosis, unspecified, bacteriological or histological examination unknown (at present)",Gu TB NOS-exam unkn
01691,5,0001691,"Genitourinary tuberculosis, unspecified, bacteriological or histological examination not done",Gu TB NOS-no exam
01690,5,0001690,"Genitourinary tuberculosis, unspecified, unspecified",Gu TB NOS-unspec
01676,5,0001676,"Tuberculosis of other female genital organs, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",TB fem gen NEC-oth test
01675,5,0001675,"Tuberculosis of other female genital organs, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",TB fem gen NEC-histo dx
01674,5,0001674,"Tuberculosis of other female genital organs, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",TB fem gen NEC-cult dx
01673,5,0001673,"Tuberculosis of other female genital organs, tubercle bacilli found (in sputum) by microscopy",TB fem gen NEC-micro dx
01672,5,0001672,"Tuberculosis of other female genital organs, bacteriological or histological examination unknown (at present)",TB fem gen NEC-exam unkn
01671,5,0001671,"Tuberculosis of other female genital organs, bacteriological or histological examination not done",TB fem gen NEC-no exam
01670,5,0001670,"Tuberculosis of other female genital organs, unspecified",TB female gen NEC-unspec
01666,5,0001666,"Tuberculous oophoritis and salpingitis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",TB ovary & tube-oth test
01665,5,0001665,"Tuberculous oophoritis and salpingitis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",TB ovary & tube-histo dx
01664,5,0001664,"Tuberculous oophoritis and salpingitis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",TB ovary & tube-cult dx
01663,5,0001663,"Tuberculous oophoritis and salpingitis, tubercle bacilli found (in sputum) by microscopy",TB ovary & tube-micro dx
01662,5,0001662,"Tuberculous oophoritis and salpingitis, bacteriological or histological examination unknown (at present)",TB ovary/tube-exam unkn
01661,5,0001661,"Tuberculous oophoritis and salpingitis, bacteriological or histological examination not done",TB ovary & tube-no exam
01660,5,0001660,"Tuberculous oophoritis and salpingitis, unspecified",TB ovary & tube-unspec
01656,5,0001656,"Tuberculosis of other male genital organs, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",TB male gen NEC-oth test
